mrt_01523_00028548203	मी तुमच्यासाठी काही करू शकतो का ?
mrt_01523_00029882518	एक बस दोन तासांपूर्वी येऊन गेली आणि पुढची बस यायला अजून फक्त पाच मिनिटं आहेत
mrt_02436_00013089849	कृपया आपली सीट सरळ करावी
mrt_02436_00013484215	किशोर कुमार यांचा जन्म मध्य प्रदेशातील खांडवा गावी झाला
mrt_02484_00002806507	तुम्हाला वाट पहावी लागली का क्वचित कधी माझा वेग मंदावतो ?
mrt_02484_00007602377	धुकं कशामुळे तयार होतं ते माहीत आहे का तुम्हाला ?
mrt_02624_00000391676	तुमच्या बाबतीत काही वाईट झालं नसेल अशी आशा आहे मी काही मदत करू ?
mrt_02624_00007390408	अक्षयनं यावर्षी भरपूर अभ्यास केला अथक परिश्रम घेतले आणि वर्गात अकरावा आला
mrt_03349_00062047674	खांदेश्वर हे या मार्गावरील दहावे स्थानक असून येथे ट्रेन बराच वेळ थांबते
mrt_03349_00062847458	क्रॉफर्ड मार्केटमधल्या सत्तर दुकानांमधून आपल्याला हवी ती गोष्ट मिळू शकते
mrt_09697_02139010528	आता सारस्वत बँकेची सातवी शाखा फॅशन स्ट्रीटजवळ उघडते आहे परवा तिचा उद्घाटन समारंभ आहे
mrt_04310_02117569342	करिनाचा सांभाळ तिच्या आईनेच केला
mrt_03398_02145517609	आज गुगल दोन पूर्णांक तीन टक्के घसरून सातशे पन्नास डॉलरवर बंद झालं
mrt_03398_02142956376	तुम्हाला वाट पहावी लागली का ? क्वचित कधी माझा वेग मंदावतो
mrt_03397_02119986802	अनुजाचा जन्म एकोणीसशे अठ्ठ्याण्णव सालातील जुलै या महिन्यात धुळे इथे झाला
